"id","page","number","word","remember","Japanese","example"
"1","1","1","revolve","","公転する",""
"2","1","2","rotate","","自転する",""
"3","1","3","erupt","","噴火する",""
"4","1","4","evaporate","","蒸発する",""
"5","1","5","purify","","浄化する",""
"6","1","6","condense","","凝縮する",""
"7","1","7","glitter","","光る",""
"8","1","8","glisten","","輝く",""
"9","1","9","sprout","","芽が出る",""
"10","1","10","ripen","","実がなる",""
"11","1","11","wither","","しおれる",""
"12","1","12","rot","","腐る",""
"13","1","13","hibernate","","冬眠する",""
"14","1","14","evolve","","進化する","evolve from a lower form into a higher form of animal life "
"15","2","1","fuse","","溶ける","Copper and zinc are fused to make brass. "
"16","2","2","circulate","","循環する","Blood circulates through the body."
"17","2","3","overflow","","あふれる","The ponds often overflow in the spring"
"18","2","4","smash","","打ち壊す",""
"19","2","5","explode",""," 爆発する",""
"20","2","6","skim","","すれすれに飛ばす","A swallow flew west skimming the lake. "
"21","2","7","adhere","","くっつく",""
"22","2","8","deflate","","すぼませる",""
"23","2","9","blot","","染み込む",""
"24","2","10","penetrate","","突き通す",""
"25","2","11","magnify","","拡大する",""
"26","2","12","compress","","圧縮する",""
"27","2","13","retain","","保つ",""
"28","2","14","relay","","中継する",""
"29","3","1","linger","","ぐずぐずする","She lingered over her work till late at night."
"30","3","2","trail","","引きずる",""
"31","3","3","shrug","","肩をすくめる","He just shrugged his shoulders."
"32","3","4","dangle","","足をブラブラする",""
"33","3","5","slumber","","まどろむ",""
"34","3","6","rob","","こする",""
"35","3","7","spill","","こぼす",""
"36","3","8","vomit","","吐く",""
"37","3","9","stain","","汚す",""
"38","3","10","tuck","","ズボンの裾をおる",""
"39","3","11","traverse","","横切る",""
"40","3","12","wade",""," (川・ぬかるみなどを)歩く",""
"41","3","13","wring","","絞る",""
"42","3","14","gargle","","うがいをする",""
"43","4","1","polish","","磨く",""
"44","4","2","dye","","髪を染める",""
"45","4","3","braid","","髪を編み込む",""
"46","4","4","powder","","化粧をする(白粉)",""
"47","4","5","undo","","紐を解く",""
"48","4","6","strain","","紐をぴんと張る",""
"49","4","7","disinfect","","消毒をする",""
"50","4","8","scorch","","焦がす",""
"51","4","9","stitch","","刺繍をする",""
"52","4","10","scan","","雑誌をペラペラとめくる",""
"53","4","11","simmer","","煮る",""
"54","4","12","season","","味付けをする",""
"55","4","13","grate","","すり合わせる、こする",""
"56","4","14","garnish","","料理のつけ合わせをする","The roast chicken was garnished with slices of lemon. "
"57","5","1","assemble","","組み立てる",""
"58","5","2","tighten","","きつく締める",""
"59","5","3","subscribe","","定期購読する",""
"60","5","4","queue","","列に並ぶ",""
"61","5","5","browse","","ぶらぶらと商品を見る",""
"62","5","6","misplace","","忘れ物をする",""
"63","5","7","conserve","","節約をする",""
"64","5","8","deposit","","預ける、預金する",""
"65","5","9","exchange","","取り替える、両替する",""
"66","5","10","remit","","仕送りする",""
"67","5","11","utilize","","利用する",""
"68","5","12","sustain","","支える",""
"69","5","13","moonlight","","アルバイトをする",""
"70","5","14","repay","","返済する",""
"71","6","1","rear","","育てる，しつける.",""
"72","6","2","nurture","","養育する、育てる",""
"73","6","3","familiarize","","親しませる、習熟させる",""
"74","6","4","shield","","保護する",""
"75","6","5","foster","","養育する",""
"76","6","6","nourish","","育成する、抱く",""
"77","6","7","concede","","渋々認める",""
"78","6","8","intervene","","邪魔する、介入する",""
"79","6","9","indulge","","甘やかす","She indulges her child. "
"80","6","10","accompany","","付き添う",""
"81","6","11","frown","","眉をひそめる",""
"82","6","12","mold","","形成する",""
"83","6","13","flunk","","落第する",""
"84","6","14","resemble","","似る","Tom resembles his father. "
"85","7","1","conduct","","導く",""
"86","7","2","charm","","うっとりさせる，魅する","She was charmed with the beautiful scene."
"87","7","3","fascinate","","魅惑する，悩殺する",""
"88","7","4","follow","","従う",""
"89","7","5","honor","","尊敬する",""
"90","7","6","adore","","熱愛する",""
"91","7","7","beautify","","美しくする",""
"92","7","8","tread","","行く、通る","He trod the room from end to end."
"93","7","9","smooch",""," キスをする、キスをして抱き合う",""
"94","7","10","impart","","伝える、告げる",""
"95","7","11","delight","","喜ばせる","Your present delighted her."
"96","7","12","signify","","示す，知らせる ","She signified her consent by raising her hand."
"97","7","13","schedule","","計画する",""
"98","7","14","dedicate","","ささげる、専念する","He dedicated himself to the study of bacteria. "
"99","8","1","cultivate","","耕す",""
"100","8","2","reap","","収穫する",""
"101","8","3","embark","","積み込む、乗船させる(船、飛行機)",""
"102","8","4","salvage","","（海難・火災・災害などから）救助する",""
"103","8","5","predict","","予言する",""
"104","8","6","heave","","投げる、投げ出す","Somebody heaved a brick at us."
"105","8","7","wreck","","めちゃめちゃに破壊する","The car was wrecked by the mob. "
"106","8","8","forward","","転送する",""
"107","8","9","usher","","案内する",""
"108","8","10","reconfirm","","再確認する",""
"109","8","11","feed","","注ぎ込む","The river is fed by two tributaries."
"110","8","12","warrant","","保証する",""
"111","8","13","cite","","云う、告げる","He was cited for his accomplishments. "
"112","8","14","enrich","","裕福にする","enrich soil with manure"
"113","9","1","alternate","","交替する","Kate and her sister alternate in setting the table."
"114","9","2","alleviate","","痛みを和らげる","A cold compress often alleviates pain. "
"115","9","3","prescribe","","処方する",""
"116","9","4","dispense","","調剤する",""
"117","9","5","transplant","","移植する、移住させる","I transplanted the seedlings into the garden."
"118","9","6","insulate","","隔離する","insulate a studio from noise "
"119","9","7","interpret","","翻訳する",""
